id,out,in,all,bins,unique,,
2867,13,12,25,,,,
4695,54,1,55,,,,
6717,8,5,13,,,,
13266,4,4,8,,,,
2478,3,1,4,,,,
15839,1,0,1,,,,
17688,1,7,8,,,,
533,43,4,47,,,,
11120,1,12,13,,,,
13998,1,14,15,,,,
1853,16,16,32,,,,
4848,5,0,5,,,,
12860,6,1,7,,,,
7376,9,87,96,,,,
11051,1,8,9,,,,
3635,8,21,29,,,,
5197,5,9,14,,,,
9034,12,15,27,,,,
16445,8,0,8,,,,
3531,2,0,2,,,,
234,7,1,8,,,,
6972,1,8,9,,,,
14618,10,15,25,,,,
3166,20,60,80,,,,
17126,19,11,30,,,,
12804,1,2,3,,,,
10938,7,3,10,,,,
12561,32,14,46,,,,
15391,11,9,20,,,,
12781,1,0,1,,,,
10640,25,16,41,,,,
4814,19,28,47,,,,
9689,10,12,22,,,,
2994,13,19,32,,,,
1613,4,7,11,,,,
10266,12,4,16,,,,
2832,49,103,152,,,,
2076,2,3,5,,,,
16564,5,15,20,,,,
12459,67,9,76,,,,
9579,22,2,24,,,,
2059,16,14,30,,,,
12685,25,8,33,,,,
7209,3,1,4,,,,
2498,7,21,28,,,,
15667,1,0,1,,,,
2799,3,9,12,,,,
7839,17,18,35,,,,
14766,11,3,14,,,,
16777,7,2,9,,,,
11919,23,3,26,,,,
4721,10,27,37,,,,
6677,47,38,85,,,,
7929,1,12,13,,,,
14675,4,0,4,,,,
14771,10,11,21,,,,
5201,22,24,46,,,,
9502,7,6,13,,,,
4909,16,0,16,,,,
3733,11,23,34,,,,
10495,8,14,22,,,,
6288,2,20,22,,,,
12642,24,14,38,,,,
12878,6,13,19,,,,
9174,1,6,7,,,,
7205,7,25,32,,,,
5247,4,43,47,,,,
4058,14,42,56,,,,
11718,29,13,42,,,,
13223,12,21,33,,,,
15707,7,10,17,,,,
1275,42,89,131,,,,
4063,2,12,14,,,,
13526,1,25,26,,,,
4895,4,0,4,,,,
2269,260,27,287,,,,
2773,46,0,46,,,,
14579,16,69,85,,,,
4782,20,13,33,,,,
8247,4,3,7,,,,
13835,1,10,11,,,,
6234,21,6,27,,,,
2702,4,68,72,,,,
8639,9,9,18,,,,
793,40,43,83,,,,
13347,10,36,46,,,,
386,60,89,149,,,,
8869,26,0,26,,,,
4740,20,12,32,,,,
8436,67,41,108,,,,
3114,4,12,16,,,,
10046,6,14,20,,,,
5004,1,1,2,,,,
13538,14,4,18,,,,
1455,47,6,53,,,,
12360,2,11,13,,,,
42,6,2,8,,,,
11484,6,12,18,,,,
10983,4,7,11,,,,
12311,28,10,38,,,,
3270,48,5,53,,,,
11523,17,1,18,,,,
13130,2,6,8,,,,
8269,14,24,38,,,,
2541,2,12,14,,,,
8433,1,26,27,,,,
15365,23,0,23,,,,
3418,35,4,39,,,,
17601,6,7,13,,,,
4423,2,1,3,,,,
9408,3,6,9,,,,
1571,11,33,44,,,,
5350,194,14,208,,,,
17803,3,3,6,,,,
1042,5,0,5,,,,
920,5,17,22,,,,
16548,6,6,12,,,,
9155,6,6,12,,,,
9821,10,4,14,,,,
16142,9,5,14,,,,
9466,17,34,51,,,,
2114,2,5,7,,,,
6087,6,3,9,,,,
16847,1,2,3,,,,
9395,4,0,4,,,,
11232,10,10,20,,,,
1563,61,109,170,,,,
16769,2,3,5,,,,
1392,136,86,222,,,,
11842,3,10,13,,,,
14267,4,2,6,,,,
4672,4,77,81,,,,
12886,11,0,11,,,,
8683,3,37,40,,,,
11481,3,35,38,,,,
14010,6,6,12,,,,
7897,1,2,3,,,,
17292,25,8,33,,,,
11460,2,1,3,,,,
5401,35,166,201,,,,
14916,4,3,7,,,,
14419,4,0,4,,,,
9645,3,7,10,,,,
13497,9,0,9,,,,
6616,24,25,49,,,,
4356,7,0,7,,,,
16919,7,2,9,,,,
9818,2,3,5,,,,
15348,1,2,3,,,,
1500,1,0,1,,,,
12976,8,49,57,,,,
8764,4,3,7,,,,
11361,6,2,8,,,,
1692,13,41,54,,,,
657,28,68,96,,,,
8003,8,11,19,,,,
2137,120,7,127,,,,
13012,4,0,4,,,,
674,106,15,121,,,,
11855,1,0,1,,,,
16858,6,5,11,,,,
12759,12,13,25,,,,
13591,3,6,9,,,,
16038,39,19,58,,,,
11322,3,174,177,,,,
11401,2,2,4,,,,
6528,3,6,9,,,,
5599,12,18,30,,,,
11755,4,13,17,,,,
7098,27,13,40,,,,
15753,9,3,12,,,,
16937,2,7,9,,,,
9269,2,16,18,,,,
13694,38,4,42,,,,
2160,16,13,29,,,,
8596,1,27,28,,,,
5547,1,14,15,,,,
6098,24,36,60,,,,
10947,3,3,6,,,,
6656,24,2,26,,,,
13915,11,0,11,,,,
14846,10,7,17,,,,
3617,34,2,36,,,,
8025,2,7,9,,,,
9223,2,27,29,,,,
5432,52,41,93,,,,
6364,1,4,5,,,,
465,222,32,254,,,,
16499,6,0,6,,,,
11912,3,11,14,,,,
6647,41,12,53,,,,
1296,100,13,113,,,,
4106,24,7,31,,,,
495,1,1,2,,,,
3564,44,30,74,,,,
11689,27,16,43,,,,
5153,6,5,11,,,,
12655,1,3,4,,,,
7544,9,18,27,,,,
2889,4,7,11,,,,
211,8,1,9,,,,
12644,1,1,2,,,,
1407,29,10,39,,,,
16909,3,0,3,,,,
10787,12,10,22,,,,
1071,10,3,13,,,,
9443,10,4,14,,,,
3587,17,58,75,,,,
10604,28,44,72,,,,
5159,6,24,30,,,,
5684,18,1,19,,,,
10165,5,13,18,,,,
9016,14,68,82,,,,
14514,6,8,14,,,,
557,1,1,2,,,,
481,14,94,108,,,,
5557,8,26,34,,,,
14518,9,2,11,,,,
8271,5,18,23,,,,
3989,38,44,82,,,,
4179,5,11,16,,,,
10110,12,11,23,,,,
16716,5,0,5,,,,
11820,5,45,50,,,,
9430,4,2,6,,,,
16283,2,4,6,,,,
5320,37,6,43,,,,
9446,13,9,22,,,,
2170,21,1,22,,,,
12870,5,3,8,,,,
4013,31,4,35,,,,
7771,42,14,56,,,,
7261,5,7,12,,,,
16386,5,8,13,,,,
9065,3,4,7,,,,
12999,17,8,25,,,,
15159,1,4,5,,,,
8031,9,1,10,,,,
910,21,8,29,,,,
16767,3,0,3,,,,
11477,1,0,1,,,,
4135,12,20,32,,,,
8984,4,10,14,,,,
15224,1,3,4,,,,
16196,20,1,21,,,,
12378,1,10,11,,,,
7239,5,8,13,,,,
9662,4,39,43,,,,
227,1,1,2,,,,
17769,7,6,13,,,,
8451,8,2,10,,,,
13340,3,2,5,,,,
1573,51,192,243,,,,
5268,19,18,37,,,,
2104,8,15,23,,,,
10058,15,15,30,,,,
11980,3,7,10,,,,
4694,28,8,36,,,,
14329,2,9,11,,,,
16621,18,5,23,,,,
10461,21,22,43,,,,
15206,27,7,34,,,,
14409,1,2,3,,,,
886,2,21,23,,,,
12398,12,3,15,,,,
3325,9,26,35,,,,
13433,10,24,34,,,,
5418,95,122,217,,,,
7703,34,34,68,,,,
17392,3,0,3,,,,
11961,5,19,24,,,,
12425,8,11,19,,,,
17044,5,38,43,,,,
11651,8,1,9,,,,
16443,2,24,26,,,,
9938,3,3,6,,,,
1018,3,12,15,,,,
12075,13,28,41,,,,
12072,10,6,16,,,,
643,25,70,95,,,,
15905,10,0,10,,,,
11639,5,11,16,,,,
9707,1,2,3,,,,
2375,25,62,87,,,,
11585,21,12,33,,,,
11618,28,0,28,,,,
10181,20,47,67,,,,
4075,4,3,7,,,,
16699,2,16,18,,,,
1086,9,29,38,,,,
14213,36,1,37,,,,
6544,5,15,20,,,,
254,5,24,29,,,,
9752,10,1,11,,,,
9292,11,12,23,,,,
14722,2,2,4,,,,
1465,7,0,7,,,,
11511,14,15,29,,,,
6829,14,40,54,,,,
13773,2,7,9,,,,
12799,47,15,62,,,,
15141,6,1,7,,,,
3816,3,5,8,,,,
1734,27,8,35,,,,
4771,22,21,43,,,,
4143,8,22,30,,,,
4223,4,0,4,,,,
14978,31,9,40,,,,
8537,21,93,114,,,,
3861,1,0,1,,,,
5172,11,5,16,,,,
2061,25,8,33,,,,
4692,19,25,44,,,,
13528,10,9,19,,,,
10252,12,6,18,,,,
14725,6,1,7,,,,
3111,5,2,7,,,,
2025,17,0,17,,,,
12169,10,4,14,,,,
8724,7,20,27,,,,
15998,52,23,75,,,,
10202,11,3,14,,,,
15504,2,7,9,,,,
3511,3,9,12,,,,
3757,21,34,55,,,,
10882,8,1,9,,,,
5082,10,16,26,,,,
17405,6,4,10,,,,
13272,3,2,5,,,,
8154,32,41,73,,,,
14819,3,4,7,,,,
4273,7,2,9,,,,
6520,11,3,14,,,,
4537,37,2,39,,,,
7300,16,11,27,,,,
9129,2,8,10,,,,
1108,67,20,87,,,,
6721,20,11,31,,,,
8907,15,3,18,,,,
7997,21,18,39,,,,
14774,2,4,6,,,,
11615,9,1,10,,,,
1267,12,0,12,,,,
8564,1,23,24,,,,
7741,3,0,3,,,,
8366,8,32,40,,,,
12292,1,7,8,,,,
9990,1,8,9,,,,
14061,8,11,19,,,,
1593,46,143,189,,,,
17709,2,15,17,,,,
5088,7,5,12,,,,
10910,17,21,38,,,,
12876,4,3,7,,,,
8935,2,11,13,,,,
15300,6,11,17,,,,
423,23,43,66,,,,
9086,5,4,9,,,,
7149,8,2,10,,,,
16073,2,0,2,,,,
9487,2,3,5,,,,
14831,3,1,4,,,,
14406,1,2,3,,,,
11230,3,11,14,,,,
2193,4,9,13,,,,
14157,25,2,27,,,,
3099,5,29,34,,,,
5501,98,95,193,,,,
1915,39,18,57,,,,
10039,17,6,23,,,,
1974,18,26,44,,,,
12867,4,7,11,,,,
3214,1,7,8,,,,
14567,4,27,31,,,,
12153,1,0,1,,,,
253,17,9,26,,,,
112,68,92,160,,,,
10757,24,6,30,,,,
8137,20,70,90,,,,
8633,22,20,42,,,,
155,126,40,166,,,,
8487,7,18,25,,,,
17882,1,0,1,,,,
16834,2,4,6,,,,
14427,6,3,9,,,,
8881,11,15,26,,,,
13069,4,4,8,,,,
9718,4,34,38,,,,
13716,5,35,40,,,,
9207,19,9,28,,,,
3403,6,6,12,,,,
16062,15,7,22,,,,
9420,5,5,10,,,,
3161,28,24,52,,,,
14321,2,0,2,,,,
5533,19,19,38,,,,
7087,43,2,45,,,,
6910,20,13,33,,,,
6090,11,0,11,,,,
13453,3,2,5,,,,
15721,5,4,9,,,,
9609,7,2,9,,,,
1806,34,31,65,,,,
4295,2,11,13,,,,
14483,1,4,5,,,,
2424,81,4,85,,,,
4185,3,9,12,,,,
5054,16,12,28,,,,
4651,2,29,31,,,,
15518,4,0,4,,,,
2584,3,0,3,,,,
8872,5,9,14,,,,
3282,2,85,87,,,,
13177,11,29,40,,,,
13658,1,5,6,,,,
4905,5,0,5,,,,
3832,3,27,30,,,,
15557,1,0,1,,,,
6385,10,1,11,,,,
4558,52,29,81,,,,
1358,12,12,24,,,,
9733,34,10,44,,,,
11851,5,19,24,,,,
17697,1,1,2,,,,
3105,2,0,2,,,,
5710,4,0,4,,,,
9639,10,0,10,,,,
16846,5,0,5,,,,
8203,42,21,63,,,,
16257,3,8,11,,,,
6801,5,75,80,,,,
17741,5,0,5,,,,
1702,17,29,46,,,,
1133,1,32,33,,,,
6446,5,3,8,,,,
9951,17,12,29,,,,
5887,25,14,39,,,,
14437,3,3,6,,,,
1826,7,10,17,,,,
14420,7,18,25,,,,
17651,2,1,3,,,,
11642,7,18,25,,,,
10196,24,17,41,,,,
4799,30,24,54,,,,
15979,3,18,21,,,,
14283,25,46,71,,,,
9732,50,4,54,,,,
7380,22,2,24,,,,
8864,6,1,7,,,,
952,20,0,20,,,,
15731,16,12,28,,,,
9940,13,0,13,,,,
10003,3,2,5,,,,
16178,7,6,13,,,,
10924,24,32,56,,,,
17255,17,8,25,,,,
15607,2,7,9,,,,
12919,13,8,21,,,,
